,name,indicator,indicator2,year,value
0,Afghanistan,gini,GINI index,1978,
1,Albania,gini,GINI index,1978,
2,Algeria,gini,GINI index,1978,
3,American Samoa,gini,GINI index,1978,
4,Andorra,gini,GINI index,1978,
5,Angola,gini,GINI index,1978,
6,Antigua and Barbuda,gini,GINI index,1978,
7,Argentina,gini,GINI index,1978,
8,Armenia,gini,GINI index,1978,
9,Aruba,gini,GINI index,1978,
10,Australia,gini,GINI index,1978,38.099998474121094
11,Austria,gini,GINI index,1978,
12,Azerbaijan,gini,GINI index,1978,
13,Bahamas,gini,GINI index,1978,
14,Bahrain,gini,GINI index,1978,
15,Bangladesh,gini,GINI index,1978,35.20000076293945
16,Barbados,gini,GINI index,1978,
17,Belarus,gini,GINI index,1978,
18,Belgium,gini,GINI index,1978,
19,Belize,gini,GINI index,1978,
20,Benin,gini,GINI index,1978,
21,Bermuda,gini,GINI index,1978,
22,Bhutan,gini,GINI index,1978,
23,Bolivia,gini,GINI index,1978,
24,Bosnia and Herzegovina,gini,GINI index,1978,
25,Botswana,gini,GINI index,1978,
26,Brazil,gini,GINI index,1978,56.0
27,Brunei,gini,GINI index,1978,
28,Bulgaria,gini,GINI index,1978,26.0
29,Burkina Faso,gini,GINI index,1978,
30,Burundi,gini,GINI index,1978,
31,Cambodia,gini,GINI index,1978,
32,Cameroon,gini,GINI index,1978,
33,Canada,gini,GINI index,1978,
34,Cape Verde,gini,GINI index,1978,
35,Cayman Islands,gini,GINI index,1978,
36,Central African Rep.,gini,GINI index,1978,
37,Chad,gini,GINI index,1978,
38,Channel Islands,gini,GINI index,1978,
39,Chile,gini,GINI index,1978,
40,China,gini,GINI index,1978,31.700000762939453
41,Colombia,gini,GINI index,1978,54.70000076293945
42,Comoros,gini,GINI index,1978,
43,Congo,gini,GINI index,1978, Dem. Rep.
44,Congo,gini,GINI index,1978, Rep.
45,Costa Rica,gini,GINI index,1978,
46,Cote d'Ivoire,gini,GINI index,1978,
47,Croatia,gini,GINI index,1978,
48,Cuba,gini,GINI index,1978,
49,Cyprus,gini,GINI index,1978,
50,Czech Rep.,gini,GINI index,1978,
51,Denmark,gini,GINI index,1978,40.099998474121094
52,Djibouti,gini,GINI index,1978,
53,Dominica,gini,GINI index,1978,
54,Dominican Rep.,gini,GINI index,1978,
55,East Asia & Pacific,gini,GINI index,1978,
56,Ecuador,gini,GINI index,1978,
57,Egypt,gini,GINI index,1978,
58,El Salvador,gini,GINI index,1978,
59,Equatorial Guinea,gini,GINI index,1978,
60,Eritrea,gini,GINI index,1978,
61,Estonia,gini,GINI index,1978,
62,Ethiopia,gini,GINI index,1978,
63,Euro area,gini,GINI index,1978,
64,Europe & Central Asia,gini,GINI index,1978,
65,Faeroe Islands,gini,GINI index,1978,
66,Fiji,gini,GINI index,1978,
67,Finland,gini,GINI index,1978,30.399999618530273
68,France,gini,GINI index,1978,
69,French Polynesia,gini,GINI index,1978,
70,Gabon,gini,GINI index,1978,
71,Gambia,gini,GINI index,1978,
72,Georgia,gini,GINI index,1978,
73,Germany,gini,GINI index,1978,
74,Ghana,gini,GINI index,1978,
75,Greece,gini,GINI index,1978,
76,Greenland,gini,GINI index,1978,
77,Grenada,gini,GINI index,1978,
78,Guam,gini,GINI index,1978,
79,Guatemala,gini,GINI index,1978,
80,Guinea,gini,GINI index,1978,
81,Guinea-Bissau,gini,GINI index,1978,
82,Guyana,gini,GINI index,1978,
83,Haiti,gini,GINI index,1978,
84,Heavily indebted poor countries (HIPC),gini,GINI index,1978,
85,High income,gini,GINI index,1978,
86,High income: nonOECD,gini,GINI index,1978,
87,High income: OECD,gini,GINI index,1978,
88,Honduras,gini,GINI index,1978,
89,Hong Kong,gini,GINI index,1978, China
90,Hungary,gini,GINI index,1978,
91,Iceland,gini,GINI index,1978,
92,India,gini,GINI index,1978,35.099998474121094
93,Indonesia,gini,GINI index,1978,
94,Iran,gini,GINI index,1978,
95,Iraq,gini,GINI index,1978,
96,Ireland,gini,GINI index,1978,
97,Isle of Man,gini,GINI index,1978,
98,Israel,gini,GINI index,1978,
99,Italy,gini,GINI index,1978,32.900001525878906
100,Jamaica,gini,GINI index,1978,
101,Japan,gini,GINI index,1978,32.900001525878906
102,Jordan,gini,GINI index,1978,
103,Kazakhstan,gini,GINI index,1978,
104,Kenya,gini,GINI index,1978,
105,Kiribati,gini,GINI index,1978,
106,Korea,gini,GINI index,1978, Dem. Rep.
107,Korea,gini,GINI index,1978, Rep.
108,Kuwait,gini,GINI index,1978,
109,Kyrgyzstan,gini,GINI index,1978,
110,Laos,gini,GINI index,1978,
111,Latin America & Caribbean,gini,GINI index,1978,
112,Latvia,gini,GINI index,1978,
113,Least developed countries: UN classification,gini,GINI index,1978,
114,Lebanon,gini,GINI index,1978,
115,Lesotho,gini,GINI index,1978,
116,Liberia,gini,GINI index,1978,
117,Libya,gini,GINI index,1978,
118,Liechtenstein,gini,GINI index,1978,
119,Lithuania,gini,GINI index,1978,
120,Low & middle income,gini,GINI index,1978,
121,Low income,gini,GINI index,1978,
122,Lower middle income,gini,GINI index,1978,
123,Luxembourg,gini,GINI index,1978,
124,Macao,gini,GINI index,1978, China
125,Macedonia,gini,GINI index,1978, FYR
126,Madagascar,gini,GINI index,1978,
127,Malawi,gini,GINI index,1978,
128,Malaysia,gini,GINI index,1978,
129,Maldives,gini,GINI index,1978,
130,Mali,gini,GINI index,1978,
131,Malta,gini,GINI index,1978,
132,Marshall Islands,gini,GINI index,1978,
133,Mauritania,gini,GINI index,1978,
134,Mauritius,gini,GINI index,1978,
135,Mayotte,gini,GINI index,1978,
136,Mexico,gini,GINI index,1978,
137,Micronesia,gini,GINI index,1978, Fed. Sts.
138,Middle East & North Africa,gini,GINI index,1978,
139,Middle income,gini,GINI index,1978,
140,Moldova,gini,GINI index,1978,
141,Monaco,gini,GINI index,1978,
142,Mongolia,gini,GINI index,1978,
143,Montenegro,gini,GINI index,1978,
144,Morocco,gini,GINI index,1978,
145,Mozambique,gini,GINI index,1978,
146,Myanmar,gini,GINI index,1978,
147,Namibia,gini,GINI index,1978,
148,Nepal,gini,GINI index,1978,
149,Netherlands,gini,GINI index,1978,
150,Netherlands Antilles,gini,GINI index,1978,
151,New Caledonia,gini,GINI index,1978,
152,New Zealand,gini,GINI index,1978,31.899999618530273
153,Nicaragua,gini,GINI index,1978,
154,Niger,gini,GINI index,1978,
155,Nigeria,gini,GINI index,1978,
156,Northern Mariana Islands,gini,GINI index,1978,
157,Norway,gini,GINI index,1978,
158,Oman,gini,GINI index,1978,
159,Pakistan,gini,GINI index,1978,
160,Palau,gini,GINI index,1978,
161,Panama,gini,GINI index,1978,
162,Papua New Guinea,gini,GINI index,1978,
163,Paraguay,gini,GINI index,1978,
164,Peru,gini,GINI index,1978,
165,Philippines,gini,GINI index,1978,
166,Poland,gini,GINI index,1978,24.399999618530273
167,Portugal,gini,GINI index,1978,
168,Puerto Rico,gini,GINI index,1978,
169,Qatar,gini,GINI index,1978,
170,Romania,gini,GINI index,1978,
171,Russia,gini,GINI index,1978,
172,Rwanda,gini,GINI index,1978,
173,Saint Kitts and Nevis,gini,GINI index,1978,
174,Saint Lucia,gini,GINI index,1978,
175,Saint Vincent and the Grenadines,gini,GINI index,1978,
176,Samoa,gini,GINI index,1978,
177,San Marino,gini,GINI index,1978,
178,Sao Tome and Principe,gini,GINI index,1978,
179,Saudi Arabia,gini,GINI index,1978,
180,Senegal,gini,GINI index,1978,
181,Serbia,gini,GINI index,1978,
182,Seychelles,gini,GINI index,1978,46.0
183,Sierra Leone,gini,GINI index,1978,
184,Singapore,gini,GINI index,1978,38.20000076293945
185,Slovak Republic,gini,GINI index,1978,
186,Slovenia,gini,GINI index,1978,
187,Solomon Islands,gini,GINI index,1978,
188,Somalia,gini,GINI index,1978,
189,South Africa,gini,GINI index,1978,
190,South Asia,gini,GINI index,1978,
191,Spain,gini,GINI index,1978,
192,Sri Lanka,gini,GINI index,1978,
193,Sub-Saharan Africa,gini,GINI index,1978,
194,Sudan,gini,GINI index,1978,
195,Suriname,gini,GINI index,1978,
196,Swaziland,gini,GINI index,1978,
197,Sweden,gini,GINI index,1978,
198,Switzerland,gini,GINI index,1978,
199,Syria,gini,GINI index,1978,
200,Tajikistan,gini,GINI index,1978,
201,Tanzania,gini,GINI index,1978,
202,Thailand,gini,GINI index,1978,
203,Timor-Leste,gini,GINI index,1978,
204,Togo,gini,GINI index,1978,
205,Tonga,gini,GINI index,1978,
206,Trinidad and Tobago,gini,GINI index,1978,
207,Tunisia,gini,GINI index,1978,
208,Turkey,gini,GINI index,1978,
209,Turkmenistan,gini,GINI index,1978,
210,Uganda,gini,GINI index,1978,
211,Ukraine,gini,GINI index,1978,
212,United Arab Emirates,gini,GINI index,1978,
213,United Kingdom,gini,GINI index,1978,27.299999237060547
214,United States,gini,GINI index,1978,40.20000076293945
215,Upper middle income,gini,GINI index,1978,
216,Uruguay,gini,GINI index,1978,
217,Uzbekistan,gini,GINI index,1978,
218,Vanuatu,gini,GINI index,1978,
219,Venezuela,gini,GINI index,1978,
220,Vietnam,gini,GINI index,1978,
221,Virgin Islands (U.S.),gini,GINI index,1978,
222,West Bank and Gaza,gini,GINI index,1978,
223,World,gini,GINI index,1978,
224,Yemen,gini,GINI index,1978, Rep.
225,Zambia,gini,GINI index,1978,
226,Zimbabwe,gini,GINI index,1978,
227,Afghanistan,gini,GINI index,1979,
228,Albania,gini,GINI index,1979,
229,Algeria,gini,GINI index,1979,
230,American Samoa,gini,GINI index,1979,
231,Andorra,gini,GINI index,1979,
232,Angola,gini,GINI index,1979,
233,Antigua and Barbuda,gini,GINI index,1979,
234,Argentina,gini,GINI index,1979,
235,Armenia,gini,GINI index,1979,
236,Aruba,gini,GINI index,1979,
237,Australia,gini,GINI index,1979,39.29999923706055
238,Austria,gini,GINI index,1979,
239,Azerbaijan,gini,GINI index,1979,
240,Bahamas,gini,GINI index,1979,
241,Bahrain,gini,GINI index,1979,
242,Bangladesh,gini,GINI index,1979,
243,Barbados,gini,GINI index,1979,
244,Belarus,gini,GINI index,1979,
245,Belgium,gini,GINI index,1979,28.299999237060547
246,Belize,gini,GINI index,1979,
247,Benin,gini,GINI index,1979,
248,Bermuda,gini,GINI index,1979,
249,Bhutan,gini,GINI index,1979,
250,Bolivia,gini,GINI index,1979,
251,Bosnia and Herzegovina,gini,GINI index,1979,
252,Botswana,gini,GINI index,1979,
253,Brazil,gini,GINI index,1979,60.0
254,Brunei,gini,GINI index,1979,
255,Bulgaria,gini,GINI index,1979,25.799999237060547
256,Burkina Faso,gini,GINI index,1979,
257,Burundi,gini,GINI index,1979,
258,Cambodia,gini,GINI index,1979,
259,Cameroon,gini,GINI index,1979,
260,Canada,gini,GINI index,1979,31.0
261,Cape Verde,gini,GINI index,1979,
262,Cayman Islands,gini,GINI index,1979,
263,Central African Rep.,gini,GINI index,1979,
264,Chad,gini,GINI index,1979,
265,Channel Islands,gini,GINI index,1979,
266,Chile,gini,GINI index,1979,
267,China,gini,GINI index,1979,
268,Colombia,gini,GINI index,1979,
269,Comoros,gini,GINI index,1979,
270,Congo,gini,GINI index,1979,
271,Congo,gini,GINI index,1979,
272,Costa Rica,gini,GINI index,1979,45.0
273,Cote d'Ivoire,gini,GINI index,1979,
274,Croatia,gini,GINI index,1979,
275,Cuba,gini,GINI index,1979,
276,Cyprus,gini,GINI index,1979,
277,Czech Rep.,gini,GINI index,1979,
278,Denmark,gini,GINI index,1979,40.599998474121094
279,Djibouti,gini,GINI index,1979,
280,Dominica,gini,GINI index,1979,
281,Dominican Rep.,gini,GINI index,1979,
282,East Asia & Pacific,gini,GINI index,1979,
283,Ecuador,gini,GINI index,1979,
284,Egypt,gini,GINI index,1979,
285,El Salvador,gini,GINI index,1979,
286,Equatorial Guinea,gini,GINI index,1979,
287,Eritrea,gini,GINI index,1979,
288,Estonia,gini,GINI index,1979,
289,Ethiopia,gini,GINI index,1979,
290,Euro area,gini,GINI index,1979,
291,Europe & Central Asia,gini,GINI index,1979,
292,Faeroe Islands,gini,GINI index,1979,
293,Fiji,gini,GINI index,1979,
294,Finland,gini,GINI index,1979,31.100000381469727
295,France,gini,GINI index,1979,33.099998474121094
296,French Polynesia,gini,GINI index,1979,
297,Gabon,gini,GINI index,1979,
298,Gambia,gini,GINI index,1979,
299,Georgia,gini,GINI index,1979,
300,Germany,gini,GINI index,1979,
301,Ghana,gini,GINI index,1979,
302,Greece,gini,GINI index,1979,
303,Greenland,gini,GINI index,1979,
304,Grenada,gini,GINI index,1979,
305,Guam,gini,GINI index,1979,
306,Guatemala,gini,GINI index,1979,40.70000076293945
307,Guinea,gini,GINI index,1979,
308,Guinea-Bissau,gini,GINI index,1979,
309,Guyana,gini,GINI index,1979,
310,Haiti,gini,GINI index,1979,
311,Heavily indebted poor countries (HIPC),gini,GINI index,1979,
312,High income,gini,GINI index,1979,
313,High income: nonOECD,gini,GINI index,1979,
314,High income: OECD,gini,GINI index,1979,
315,Honduras,gini,GINI index,1979,
316,Hong Kong,gini,GINI index,1979,
317,Hungary,gini,GINI index,1979,
318,Iceland,gini,GINI index,1979,
319,India,gini,GINI index,1979,
320,Indonesia,gini,GINI index,1979,
321,Iran,gini,GINI index,1979,
322,Iraq,gini,GINI index,1979,
323,Ireland,gini,GINI index,1979,
324,Isle of Man,gini,GINI index,1979,
325,Israel,gini,GINI index,1979,36.29999923706055
326,Italy,gini,GINI index,1979,36.099998474121094
327,Jamaica,gini,GINI index,1979,
328,Japan,gini,GINI index,1979,33.900001525878906
329,Jordan,gini,GINI index,1979,
330,Kazakhstan,gini,GINI index,1979,
331,Kenya,gini,GINI index,1979,
332,Kiribati,gini,GINI index,1979,
333,Korea,gini,GINI index,1979,
334,Korea,gini,GINI index,1979,
335,Kuwait,gini,GINI index,1979,
336,Kyrgyzstan,gini,GINI index,1979,
337,Laos,gini,GINI index,1979,
338,Latin America & Caribbean,gini,GINI index,1979,
339,Latvia,gini,GINI index,1979,
340,Least developed countries: UN classification,gini,GINI index,1979,
341,Lebanon,gini,GINI index,1979,
342,Lesotho,gini,GINI index,1979,
343,Liberia,gini,GINI index,1979,
344,Libya,gini,GINI index,1979,
345,Liechtenstein,gini,GINI index,1979,
346,Lithuania,gini,GINI index,1979,
347,Low & middle income,gini,GINI index,1979,
348,Low income,gini,GINI index,1979,
349,Lower middle income,gini,GINI index,1979,
350,Luxembourg,gini,GINI index,1979,
351,Macao,gini,GINI index,1979,
352,Macedonia,gini,GINI index,1979,
353,Madagascar,gini,GINI index,1979,
354,Malawi,gini,GINI index,1979,
355,Malaysia,gini,GINI index,1979,51.0
356,Maldives,gini,GINI index,1979,
357,Mali,gini,GINI index,1979,
358,Malta,gini,GINI index,1979,
359,Marshall Islands,gini,GINI index,1979,
360,Mauritania,gini,GINI index,1979,
361,Mauritius,gini,GINI index,1979,
362,Mayotte,gini,GINI index,1979,
363,Mexico,gini,GINI index,1979,
364,Micronesia,gini,GINI index,1979,
365,Middle East & North Africa,gini,GINI index,1979,
366,Middle income,gini,GINI index,1979,
367,Moldova,gini,GINI index,1979,
368,Monaco,gini,GINI index,1979,
369,Mongolia,gini,GINI index,1979,
370,Montenegro,gini,GINI index,1979,
371,Morocco,gini,GINI index,1979,
372,Mozambique,gini,GINI index,1979,
373,Myanmar,gini,GINI index,1979,
374,Namibia,gini,GINI index,1979,
375,Nepal,gini,GINI index,1979,
376,Netherlands,gini,GINI index,1979,28.100000381469727
377,Netherlands Antilles,gini,GINI index,1979,
378,New Caledonia,gini,GINI index,1979,
379,New Zealand,gini,GINI index,1979,
380,Nicaragua,gini,GINI index,1979,
381,Niger,gini,GINI index,1979,
382,Nigeria,gini,GINI index,1979,
383,Northern Mariana Islands,gini,GINI index,1979,
384,Norway,gini,GINI index,1979,26.799999237060547
385,Oman,gini,GINI index,1979,
386,Pakistan,gini,GINI index,1979,32.29999923706055
387,Palau,gini,GINI index,1979,
388,Panama,gini,GINI index,1979,48.74
389,Papua New Guinea,gini,GINI index,1979,
390,Paraguay,gini,GINI index,1979,
391,Peru,gini,GINI index,1979,
392,Philippines,gini,GINI index,1979,
393,Poland,gini,GINI index,1979,24.5
394,Portugal,gini,GINI index,1979,
395,Puerto Rico,gini,GINI index,1979,50.20000076293945
396,Qatar,gini,GINI index,1979,
397,Romania,gini,GINI index,1979,
398,Russia,gini,GINI index,1979,
399,Rwanda,gini,GINI index,1979,
400,Saint Kitts and Nevis,gini,GINI index,1979,
401,Saint Lucia,gini,GINI index,1979,
402,Saint Vincent and the Grenadines,gini,GINI index,1979,
403,Samoa,gini,GINI index,1979,
404,San Marino,gini,GINI index,1979,
405,Sao Tome and Principe,gini,GINI index,1979,
406,Saudi Arabia,gini,GINI index,1979,
407,Senegal,gini,GINI index,1979,
408,Serbia,gini,GINI index,1979,
409,Seychelles,gini,GINI index,1979,
410,Sierra Leone,gini,GINI index,1979,
411,Singapore,gini,GINI index,1979,
412,Slovak Republic,gini,GINI index,1979,
413,Slovenia,gini,GINI index,1979,
414,Solomon Islands,gini,GINI index,1979,
415,Somalia,gini,GINI index,1979,
416,South Africa,gini,GINI index,1979,
417,South Asia,gini,GINI index,1979,
418,Spain,gini,GINI index,1979,
419,Sri Lanka,gini,GINI index,1979,43.5
420,Sub-Saharan Africa,gini,GINI index,1979,
421,Sudan,gini,GINI index,1979,
422,Suriname,gini,GINI index,1979,
423,Swaziland,gini,GINI index,1979,
424,Sweden,gini,GINI index,1979,
425,Switzerland,gini,GINI index,1979,
426,Syria,gini,GINI index,1979,
427,Tajikistan,gini,GINI index,1979,
428,Tanzania,gini,GINI index,1979,
429,Thailand,gini,GINI index,1979,
430,Timor-Leste,gini,GINI index,1979,
431,Togo,gini,GINI index,1979,
432,Tonga,gini,GINI index,1979,
433,Trinidad and Tobago,gini,GINI index,1979,
434,Tunisia,gini,GINI index,1979,
435,Turkey,gini,GINI index,1979,
436,Turkmenistan,gini,GINI index,1979,
437,Uganda,gini,GINI index,1979,
438,Ukraine,gini,GINI index,1979,
439,United Arab Emirates,gini,GINI index,1979,
440,United Kingdom,gini,GINI index,1979,28.200000762939453
441,United States,gini,GINI index,1979,40.400001525878906
442,Upper middle income,gini,GINI index,1979,
443,Uruguay,gini,GINI index,1979,
444,Uzbekistan,gini,GINI index,1979,
445,Vanuatu,gini,GINI index,1979,
446,Venezuela,gini,GINI index,1979,
447,Vietnam,gini,GINI index,1979,
448,Virgin Islands (U.S.),gini,GINI index,1979,
449,West Bank and Gaza,gini,GINI index,1979,
450,World,gini,GINI index,1979,
451,Yemen,gini,GINI index,1979,
452,Zambia,gini,GINI index,1979,
453,Zimbabwe,gini,GINI index,1979,
454,Afghanistan,gini,GINI index,1980,
455,Albania,gini,GINI index,1980,
456,Algeria,gini,GINI index,1980,
457,American Samoa,gini,GINI index,1980,
458,Andorra,gini,GINI index,1980,
459,Angola,gini,GINI index,1980,
460,Antigua and Barbuda,gini,GINI index,1980,
461,Argentina,gini,GINI index,1980,39.29999923706055
462,Armenia,gini,GINI index,1980,
463,Aruba,gini,GINI index,1980,
464,Australia,gini,GINI index,1980,
465,Austria,gini,GINI index,1980,
466,Azerbaijan,gini,GINI index,1980,
467,Bahamas,gini,GINI index,1980,
468,Bahrain,gini,GINI index,1980,
469,Bangladesh,gini,GINI index,1980,
470,Barbados,gini,GINI index,1980,
471,Belarus,gini,GINI index,1980,
472,Belgium,gini,GINI index,1980,
473,Belize,gini,GINI index,1980,
474,Benin,gini,GINI index,1980,
475,Bermuda,gini,GINI index,1980,
476,Bhutan,gini,GINI index,1980,
477,Bolivia,gini,GINI index,1980,
478,Bosnia and Herzegovina,gini,GINI index,1980,
479,Botswana,gini,GINI index,1980,
480,Brazil,gini,GINI index,1980,57.79999923706055
481,Brunei,gini,GINI index,1980,
482,Bulgaria,gini,GINI index,1980,25.0
483,Burkina Faso,gini,GINI index,1980,
484,Burundi,gini,GINI index,1980,
485,Cambodia,gini,GINI index,1980,
486,Cameroon,gini,GINI index,1980,
487,Canada,gini,GINI index,1980,
488,Cape Verde,gini,GINI index,1980,
489,Cayman Islands,gini,GINI index,1980,
490,Central African Rep.,gini,GINI index,1980,
491,Chad,gini,GINI index,1980,
492,Channel Islands,gini,GINI index,1980,
493,Chile,gini,GINI index,1980,53.20000076293945
494,China,gini,GINI index,1980,32.0
495,Colombia,gini,GINI index,1980,
496,Comoros,gini,GINI index,1980,
497,Congo,gini,GINI index,1980,
498,Congo,gini,GINI index,1980,
499,Costa Rica,gini,GINI index,1980,
500,Cote d'Ivoire,gini,GINI index,1980,
501,Croatia,gini,GINI index,1980,
502,Cuba,gini,GINI index,1980,
503,Cyprus,gini,GINI index,1980,
504,Czech Rep.,gini,GINI index,1980,
505,Denmark,gini,GINI index,1980,41.29999923706055
506,Djibouti,gini,GINI index,1980,
507,Dominica,gini,GINI index,1980,
508,Dominican Rep.,gini,GINI index,1980,
509,East Asia & Pacific,gini,GINI index,1980,
510,Ecuador,gini,GINI index,1980,
511,Egypt,gini,GINI index,1980,
512,El Salvador,gini,GINI index,1980,
513,Equatorial Guinea,gini,GINI index,1980,
514,Eritrea,gini,GINI index,1980,
515,Estonia,gini,GINI index,1980,
516,Ethiopia,gini,GINI index,1980,
517,Euro area,gini,GINI index,1980,
518,Europe & Central Asia,gini,GINI index,1980,
519,Faeroe Islands,gini,GINI index,1980,
520,Fiji,gini,GINI index,1980,
521,Finland,gini,GINI index,1980,30.899999618530273
522,France,gini,GINI index,1980,
523,French Polynesia,gini,GINI index,1980,
524,Gabon,gini,GINI index,1980,
525,Gambia,gini,GINI index,1980,
526,Georgia,gini,GINI index,1980,
527,Germany,gini,GINI index,1980,
528,Ghana,gini,GINI index,1980,
529,Greece,gini,GINI index,1980,
530,Greenland,gini,GINI index,1980,
531,Grenada,gini,GINI index,1980,
532,Guam,gini,GINI index,1980,
533,Guatemala,gini,GINI index,1980,
534,Guinea,gini,GINI index,1980,
535,Guinea-Bissau,gini,GINI index,1980,
536,Guyana,gini,GINI index,1980,
537,Haiti,gini,GINI index,1980,
538,Heavily indebted poor countries (HIPC),gini,GINI index,1980,
539,High income,gini,GINI index,1980,
540,High income: nonOECD,gini,GINI index,1980,
541,High income: OECD,gini,GINI index,1980,
542,Honduras,gini,GINI index,1980,
543,Hong Kong,gini,GINI index,1980,
544,Hungary,gini,GINI index,1980,
545,Iceland,gini,GINI index,1980,
546,India,gini,GINI index,1980,
547,Indonesia,gini,GINI index,1980,
548,Iran,gini,GINI index,1980,
549,Iraq,gini,GINI index,1980,
550,Ireland,gini,GINI index,1980,36.0
551,Isle of Man,gini,GINI index,1980,
552,Israel,gini,GINI index,1980,
553,Italy,gini,GINI index,1980,33.20000076293945
554,Jamaica,gini,GINI index,1980,
555,Japan,gini,GINI index,1980,33.400001525878906
556,Jordan,gini,GINI index,1980,40.79999923706055
557,Kazakhstan,gini,GINI index,1980,
558,Kenya,gini,GINI index,1980,
559,Kiribati,gini,GINI index,1980,
560,Korea,gini,GINI index,1980,
561,Korea,gini,GINI index,1980,
562,Kuwait,gini,GINI index,1980,
563,Kyrgyzstan,gini,GINI index,1980,
564,Laos,gini,GINI index,1980,
565,Latin America & Caribbean,gini,GINI index,1980,
566,Latvia,gini,GINI index,1980,
567,Least developed countries: UN classification,gini,GINI index,1980,
568,Lebanon,gini,GINI index,1980,
569,Lesotho,gini,GINI index,1980,
570,Liberia,gini,GINI index,1980,
571,Libya,gini,GINI index,1980,
572,Liechtenstein,gini,GINI index,1980,
573,Lithuania,gini,GINI index,1980,
574,Low & middle income,gini,GINI index,1980,
575,Low income,gini,GINI index,1980,
576,Lower middle income,gini,GINI index,1980,
577,Luxembourg,gini,GINI index,1980,
578,Macao,gini,GINI index,1980,
579,Macedonia,gini,GINI index,1980,
580,Madagascar,gini,GINI index,1980,46.85
581,Malawi,gini,GINI index,1980,
582,Malaysia,gini,GINI index,1980,
583,Maldives,gini,GINI index,1980,
584,Mali,gini,GINI index,1980,
585,Malta,gini,GINI index,1980,
586,Marshall Islands,gini,GINI index,1980,
587,Mauritania,gini,GINI index,1980,
588,Mauritius,gini,GINI index,1980,45.70000076293945
589,Mayotte,gini,GINI index,1980,
590,Mexico,gini,GINI index,1980,
591,Micronesia,gini,GINI index,1980,
592,Middle East & North Africa,gini,GINI index,1980,
593,Middle income,gini,GINI index,1980,
594,Moldova,gini,GINI index,1980,
595,Monaco,gini,GINI index,1980,
596,Mongolia,gini,GINI index,1980,
597,Montenegro,gini,GINI index,1980,
598,Morocco,gini,GINI index,1980,
599,Mozambique,gini,GINI index,1980,
600,Myanmar,gini,GINI index,1980,
601,Namibia,gini,GINI index,1980,
602,Nepal,gini,GINI index,1980,
603,Netherlands,gini,GINI index,1980,
604,Netherlands Antilles,gini,GINI index,1980,
605,New Caledonia,gini,GINI index,1980,
606,New Zealand,gini,GINI index,1980,34.79999923706055
607,Nicaragua,gini,GINI index,1980,
608,Niger,gini,GINI index,1980,
609,Nigeria,gini,GINI index,1980,
610,Northern Mariana Islands,gini,GINI index,1980,
611,Norway,gini,GINI index,1980,
612,Oman,gini,GINI index,1980,
613,Pakistan,gini,GINI index,1980,
614,Palau,gini,GINI index,1980,
615,Panama,gini,GINI index,1980,47.5
616,Papua New Guinea,gini,GINI index,1980,
617,Paraguay,gini,GINI index,1980,
618,Peru,gini,GINI index,1980,
619,Philippines,gini,GINI index,1980,
620,Poland,gini,GINI index,1980,24.899999618530273
621,Portugal,gini,GINI index,1980,36.79999923706055
622,Puerto Rico,gini,GINI index,1980,
623,Qatar,gini,GINI index,1980,
624,Romania,gini,GINI index,1980,
625,Russia,gini,GINI index,1980,
626,Rwanda,gini,GINI index,1980,
627,Saint Kitts and Nevis,gini,GINI index,1980,
628,Saint Lucia,gini,GINI index,1980,
629,Saint Vincent and the Grenadines,gini,GINI index,1980,
630,Samoa,gini,GINI index,1980,
631,San Marino,gini,GINI index,1980,
632,Sao Tome and Principe,gini,GINI index,1980,
633,Saudi Arabia,gini,GINI index,1980,
634,Senegal,gini,GINI index,1980,
635,Serbia,gini,GINI index,1980,
636,Seychelles,gini,GINI index,1980,
637,Sierra Leone,gini,GINI index,1980,
638,Singapore,gini,GINI index,1980,40.70000076293945
639,Slovak Republic,gini,GINI index,1980,
640,Slovenia,gini,GINI index,1980,
641,Solomon Islands,gini,GINI index,1980,
642,Somalia,gini,GINI index,1980,
643,South Africa,gini,GINI index,1980,
644,South Asia,gini,GINI index,1980,
645,Spain,gini,GINI index,1980,34.5
646,Sri Lanka,gini,GINI index,1980,42.0
647,Sub-Saharan Africa,gini,GINI index,1980,
648,Sudan,gini,GINI index,1980,
649,Suriname,gini,GINI index,1980,
650,Swaziland,gini,GINI index,1980,
651,Sweden,gini,GINI index,1980,32.400001525878906
652,Switzerland,gini,GINI index,1980,
653,Syria,gini,GINI index,1980,
654,Tajikistan,gini,GINI index,1980,
655,Tanzania,gini,GINI index,1980,
656,Thailand,gini,GINI index,1980,
657,Timor-Leste,gini,GINI index,1980,
658,Togo,gini,GINI index,1980,
659,Tonga,gini,GINI index,1980,
660,Trinidad and Tobago,gini,GINI index,1980,
661,Tunisia,gini,GINI index,1980,43.0
662,Turkey,gini,GINI index,1980,
663,Turkmenistan,gini,GINI index,1980,
664,Uganda,gini,GINI index,1980,
665,Ukraine,gini,GINI index,1980,
666,United Arab Emirates,gini,GINI index,1980,
667,United Kingdom,gini,GINI index,1980,28.700000762939453
668,United States,gini,GINI index,1980,40.29999923706055
669,Upper middle income,gini,GINI index,1980,
670,Uruguay,gini,GINI index,1980,
671,Uzbekistan,gini,GINI index,1980,
672,Vanuatu,gini,GINI index,1980,
673,Venezuela,gini,GINI index,1980,
674,Vietnam,gini,GINI index,1980,
