;name;indicator;indicator2;year;value;region
0;Argentina;gini;GINI index;1979;;Americas
1;Armenia;gini;GINI index;1979;;Asia
2;Azerbaijan;gini;GINI index;1979;;Asia
3;Benin;gini;GINI index;1979;;Africa
4;Bhutan;gini;GINI index;1979;;Asia
5;Bosnia and Herzegovina;gini;GINI index;1979;;Europe
6;Botswana;gini;GINI index;1979;;Africa
7;Brazil;gini;GINI index;1979;60.0;Americas
8;Bulgaria;gini;GINI index;1979;25.799999237060547;Europe
9;Burundi;gini;GINI index;1979;;Africa
10;Cambodia;gini;GINI index;1979;;Asia
11;Cameroon;gini;GINI index;1979;;Africa
12;Canada;gini;GINI index;1979;31.0;Americas
13;Cape Verde;gini;GINI index;1979;;
14;Central African Rep.;gini;GINI index;1979;;Africa
15;Chile;gini;GINI index;1979;;Americas
16;China;gini;GINI index;1979;;Asia
17;Colombia;gini;GINI index;1979;;Americas
18;Comoros;gini;GINI index;1979;;Africa
19;Congo Dem. Rep.;gini;GINI index;1979;;
20;Cote d'Ivoire;gini;GINI index;1979;;
21;Croatia;gini;GINI index;1979;;Europe
22;Czech Republic;gini;GINI index;1979;;Europe
23;Denmark;gini;GINI index;1979;40.599998474121094;Europe
24;Djibouti;gini;GINI index;1979;;Africa
25;Dominican Rep.;gini;GINI index;1979;;Americas
26;Ecuador;gini;GINI index;1979;;Americas
27;El Salvador;gini;GINI index;1979;;Americas
28;Estonia;gini;GINI index;1979;;Europe
29;Finland;gini;GINI index;1979;31.100000381469727;Europe
30;France;gini;GINI index;1979;33.099998474121094;Europe
31;Ghana;gini;GINI index;1979;;Africa
32;Greece;gini;GINI index;1979;;Europe
33;Guatemala;gini;GINI index;1979;40.70000076293945;Americas
34;Guinea;gini;GINI index;1979;;Africa
35;Guyana;gini;GINI index;1979;;Americas
36;Haiti;gini;GINI index;1979;;Americas
37;Honduras;gini;GINI index;1979;;Americas
38;India;gini;GINI index;1979;;Asia
39;Indonesia;gini;GINI index;1979;;Asia
40;Ireland;gini;GINI index;1979;;Europe
41;Israel;gini;GINI index;1979;36.29999923706055;Asia
42;Jamaica;gini;GINI index;1979;;Americas
43;Jordan;gini;GINI index;1979;;Asia
44;Kazakhstan;gini;GINI index;1979;;Asia
45;Kenya;gini;GINI index;1979;;Africa
46;Lesotho;gini;GINI index;1979;;Africa
47;Liberia;gini;GINI index;1979;;Africa
48;Macedonia;gini;GINI index;1979;;
49;Madagascar;gini;GINI index;1979;;Africa
50;Malawi;gini;GINI index;1979;;Africa
51;Mauritania;gini;GINI index;1979;;Africa
52;Mexico;gini;GINI index;1979;;Americas
53;Moldova;gini;GINI index;1979;;
54;Mongolia;gini;GINI index;1979;;Asia
55;Morocco;gini;GINI index;1979;;Africa
56;Namibia;gini;GINI index;1979;;Africa
57;Niger;gini;GINI index;1979;;Africa
58;Norway;gini;GINI index;1979;26.799999237060547;Europe
59;Pakistan;gini;GINI index;1979;32.29999923706055;Asia
60;Panama;gini;GINI index;1979;48.74;Americas
61;Papua New Guinea;gini;GINI index;1979;;Oceania
62;Philippines;gini;GINI index;1979;;Asia
63;Poland;gini;GINI index;1979;24.5;Europe
64;Portugal;gini;GINI index;1979;;Europe
65;Russia;gini;GINI index;1979;;Europe
66;Rwanda;gini;GINI index;1979;;Africa
67;Saint Lucia;gini;GINI index;1979;;Americas
68;Senegal;gini;GINI index;1979;;Africa
69;Sierra Leone;gini;GINI index;1979;;Africa
70;Slovak Republic;gini;GINI index;1979;;
71;Slovenia;gini;GINI index;1979;;Europe
72;South Africa;gini;GINI index;1979;;Africa
73;Spain;gini;GINI index;1979;;Europe
74;Suriname;gini;GINI index;1979;;Americas
75;Swaziland;gini;GINI index;1979;;Africa
76;Sweden;gini;GINI index;1979;;Europe
77;Thailand;gini;GINI index;1979;;Asia
78;Timor-Leste;gini;GINI index;1979;;Asia
79;Togo;gini;GINI index;1979;;Africa
80;Tunisia;gini;GINI index;1979;;Africa
81;Turkey;gini;GINI index;1979;;Asia
82;Ukraine;gini;GINI index;1979;;Europe
83;United Kingdom;gini;GINI index;1979;28.200000762939453;
84;Uruguay;gini;GINI index;1979;;Americas
85;Uzbekistan;gini;GINI index;1979;;Asia
86;Venezuela;gini;GINI index;1979;39.400001525878906;
87;Vietnam;gini;GINI index;1979;;
88;Yemen Rep.;gini;GINI index;1979;;
89;Zambia;gini;GINI index;1979;;Africa
90;Angola;gini;GINI index;1980;;Africa
91;Argentina;gini;GINI index;1980;39.29999923706055;Americas
92;Australia;gini;GINI index;1980;;Oceania
93;Azerbaijan;gini;GINI index;1980;;Asia
94;Belarus;gini;GINI index;1980;;Europe
95;Belgium;gini;GINI index;1980;;Europe
96;Bhutan;gini;GINI index;1980;;Asia
97;Bolivia;gini;GINI index;1980;;
98;Botswana;gini;GINI index;1980;;Africa
99;Bulgaria;gini;GINI index;1980;25.0;Europe
100;Burkina Faso;gini;GINI index;1980;;Africa
101;Cambodia;gini;GINI index;1980;;Asia
102;Canada;gini;GINI index;1980;;Americas
103;Cape Verde;gini;GINI index;1980;;
104;Central African Rep.;gini;GINI index;1980;;Africa
105;Congo Rep.;gini;GINI index;1980;;
106;Cote d'Ivoire;gini;GINI index;1980;;
107;Czech Republic;gini;GINI index;1980;;Europe
108;Denmark;gini;GINI index;1980;41.29999923706055;Europe
109;Djibouti;gini;GINI index;1980;;Africa
110;Dominican Rep.;gini;GINI index;1980;;Americas
111;Ecuador;gini;GINI index;1980;;Americas
112;Egypt;gini;GINI index;1980;;Africa
113;Estonia;gini;GINI index;1980;;Europe
114;Ethiopia;gini;GINI index;1980;;Africa
115;Finland;gini;GINI index;1980;30.899999618530273;Europe
116;Gambia;gini;GINI index;1980;;Africa
117;Georgia;gini;GINI index;1980;;Asia
118;Germany;gini;GINI index;1980;36.599998474121094;Europe
119;Guinea-Bissau;gini;GINI index;1980;;Africa
120;Haiti;gini;GINI index;1980;;Americas
121;Honduras;gini;GINI index;1980;;Americas
122;India;gini;GINI index;1980;;Asia
123;Indonesia;gini;GINI index;1980;35.599998474121094;Asia
124;Iran;gini;GINI index;1980;;
125;Israel;gini;GINI index;1980;;Asia
126;Italy;gini;GINI index;1980;33.20000076293945;Europe
127;Jamaica;gini;GINI index;1980;;Americas
128;Kenya;gini;GINI index;1980;;Africa
129;South Korea;gini;GINI index;1980;38.599998474121094;
130;Lesotho;gini;GINI index;1980;;Africa
131;Liberia;gini;GINI index;1980;;Africa
132;Malawi;gini;GINI index;1980;;Africa
133;Moldova;gini;GINI index;1980;;
134;Mongolia;gini;GINI index;1980;;Asia
135;Mozambique;gini;GINI index;1980;;Africa
136;Namibia;gini;GINI index;1980;;Africa
137;Nepal;gini;GINI index;1980;;Asia
138;Netherlands;gini;GINI index;1980;;Europe
139;Nicaragua;gini;GINI index;1980;;Americas
140;Niger;gini;GINI index;1980;;Africa
141;Nigeria;gini;GINI index;1980;;Africa
142;Norway;gini;GINI index;1980;;Europe
143;Panama;gini;GINI index;1980;47.5;Americas
144;Papua New Guinea;gini;GINI index;1980;;Oceania
145;Poland;gini;GINI index;1980;24.899999618530273;Europe
146;Portugal;gini;GINI index;1980;36.79999923706055;Europe
147;Romania;gini;GINI index;1980;;Europe
148;Russia;gini;GINI index;1980;;Europe
149;Sierra Leone;gini;GINI index;1980;;Africa
150;Singapore;gini;GINI index;1980;40.70000076293945;Asia
151;South Africa;gini;GINI index;1980;;Africa
152;Sri Lanka;gini;GINI index;1980;42.0;Asia
153;Suriname;gini;GINI index;1980;;Americas
154;Swaziland;gini;GINI index;1980;;Africa
155;Switzerland;gini;GINI index;1980;;Europe
156;Tajikistan;gini;GINI index;1980;;Asia
157;Trinidad and Tobago;gini;GINI index;1980;;Americas
158;Turkmenistan;gini;GINI index;1980;;Asia
159;Uganda;gini;GINI index;1980;;Africa
160;Ukraine;gini;GINI index;1980;;Europe
161;United Kingdom;gini;GINI index;1980;28.700000762939453;
162;United States;gini;GINI index;1980;40.29999923706055;
163;Uzbekistan;gini;GINI index;1980;;Asia
164;Venezuela;gini;GINI index;1980;;
165;Vietnam;gini;GINI index;1980;;
166;Yemen Rep.;gini;GINI index;1980;;
167;Zambia;gini;GINI index;1980;;Africa
168;Zimbabwe;gini;GINI index;1980;;Africa
169;Albania;gini;GINI index;1981;;Europe
170;Algeria;gini;GINI index;1981;;Africa
171;Angola;gini;GINI index;1981;;Africa
172;Argentina;gini;GINI index;1981;;Americas
173;Armenia;gini;GINI index;1981;;Asia
174;Australia;gini;GINI index;1981;31.899999618530273;Oceania
175;Austria;gini;GINI index;1981;;Europe
176;Azerbaijan;gini;GINI index;1981;;Asia
177;Bangladesh;gini;GINI index;1981;39.0;Asia
178;Belarus;gini;GINI index;1981;;Europe
179;Belgium;gini;GINI index;1981;;Europe
180;Benin;gini;GINI index;1981;;Africa
181;Bhutan;gini;GINI index;1981;;Asia
182;Bolivia;gini;GINI index;1981;;
183;Bosnia and Herzegovina;gini;GINI index;1981;;Europe
184;Botswana;gini;GINI index;1981;;Africa
185;Brazil;gini;GINI index;1981;57.48;Americas
186;Bulgaria;gini;GINI index;1981;24.399999618530273;Europe
187;Burkina Faso;gini;GINI index;1981;;Africa
188;Burundi;gini;GINI index;1981;;Africa
189;Cambodia;gini;GINI index;1981;;Asia
190;Cameroon;gini;GINI index;1981;;Africa
191;Canada;gini;GINI index;1981;32.29999923706055;Americas
192;Cape Verde;gini;GINI index;1981;;
193;Central African Rep.;gini;GINI index;1981;;Africa
194;Chad;gini;GINI index;1981;;Africa
195;Chile;gini;GINI index;1981;53.5;Americas
196;China;gini;GINI index;1981;29.100000381469727;Asia
197;Colombia;gini;GINI index;1981;;Americas
198;Comoros;gini;GINI index;1981;;Africa
199;Congo Dem. Rep.;gini;GINI index;1981;;
200;Congo Rep.;gini;GINI index;1981;;
201;Costa Rica;gini;GINI index;1981;47.49;Americas
202;Cote d'Ivoire;gini;GINI index;1981;;
203;Croatia;gini;GINI index;1981;;Europe
204;Czech Republic;gini;GINI index;1981;;Europe
205;Denmark;gini;GINI index;1981;36.900001525878906;Europe
206;Djibouti;gini;GINI index;1981;;Africa
207;Dominican Rep.;gini;GINI index;1981;;Americas
208;Ecuador;gini;GINI index;1981;;Americas
209;Egypt;gini;GINI index;1981;;Africa
210;El Salvador;gini;GINI index;1981;;Americas
211;Estonia;gini;GINI index;1981;;Europe
212;Ethiopia;gini;GINI index;1981;;Africa
213;Finland;gini;GINI index;1981;32.0;Europe
214;France;gini;GINI index;1981;31.600000381469727;Europe
215;Gabon;gini;GINI index;1981;;Africa
216;Gambia;gini;GINI index;1981;;Africa
217;Georgia;gini;GINI index;1981;;Asia
218;Germany;gini;GINI index;1981;28.299999237060547;Europe
219;Ghana;gini;GINI index;1981;;Africa
220;Greece;gini;GINI index;1981;33.29999923706055;Europe
221;Guatemala;gini;GINI index;1981;;Americas
222;Guinea;gini;GINI index;1981;;Africa
223;Guinea-Bissau;gini;GINI index;1981;;Africa
224;Guyana;gini;GINI index;1981;;Americas
225;Haiti;gini;GINI index;1981;;Americas
226;Honduras;gini;GINI index;1981;;Americas
227;Hong Kong;gini;GINI index;1981;45.20000076293945;Asia
228;Hungary;gini;GINI index;1981;;Europe
229;India;gini;GINI index;1981;;Asia
230;Indonesia;gini;GINI index;1981;33.70000076293945;Asia
231;Iran;gini;GINI index;1981;;
232;Ireland;gini;GINI index;1981;;Europe
233;Israel;gini;GINI index;1981;;Asia
234;Italy;gini;GINI index;1981;31.5;Europe
235;Jamaica;gini;GINI index;1981;;Americas
236;Japan;gini;GINI index;1981;31.399999618530273;Asia
237;Jordan;gini;GINI index;1981;;Asia
238;Kazakhstan;gini;GINI index;1981;;Asia
239;Kenya;gini;GINI index;1981;57.29999923706055;Africa
240;South Korea;gini;GINI index;1981;;
241;Kyrgyzstan;gini;GINI index;1981;;Asia
242;Laos;gini;GINI index;1981;;Asia
243;Latvia;gini;GINI index;1981;;Europe
244;Lesotho;gini;GINI index;1981;;Africa
245;Liberia;gini;GINI index;1981;;Africa
246;Lithuania;gini;GINI index;1981;;Europe
247;Luxembourg;gini;GINI index;1981;;Europe
248;Macedonia;gini;GINI index;1981;;
249;Madagascar;gini;GINI index;1981;;Africa
250;Malawi;gini;GINI index;1981;;Africa
251;Malaysia;gini;GINI index;1981;;Asia
252;Mali;gini;GINI index;1981;;Africa
253;Mauritania;gini;GINI index;1981;;Africa
254;Mexico;gini;GINI index;1981;;Americas
255;Moldova;gini;GINI index;1981;;
256;Mongolia;gini;GINI index;1981;;Asia
257;Morocco;gini;GINI index;1981;;Africa
258;Mozambique;gini;GINI index;1981;;Africa
259;Namibia;gini;GINI index;1981;;Africa
260;Nepal;gini;GINI index;1981;;Asia
261;Netherlands;gini;GINI index;1981;26.700000762939453;Europe
262;Netherlands;gini;GINI index;1981;;Europe
263;New Zealand;gini;GINI index;1981;;Oceania
264;Nicaragua;gini;GINI index;1981;;Americas
265;Niger;gini;GINI index;1981;;Africa
266;Nigeria;gini;GINI index;1981;35.20000076293945;Africa
267;Norway;gini;GINI index;1981;;Europe
268;Pakistan;gini;GINI index;1981;;Asia
269;Panama;gini;GINI index;1981;;Americas
270;Papua New Guinea;gini;GINI index;1981;;Oceania
271;Paraguay;gini;GINI index;1981;;Americas
272;Peru;gini;GINI index;1981;49.29999923706055;Americas
273;Philippines;gini;GINI index;1981;;Asia
274;Poland;gini;GINI index;1981;23.299999237060547;Europe
275;Portugal;gini;GINI index;1981;;Europe
276;Romania;gini;GINI index;1981;;Europe
277;Russia;gini;GINI index;1981;;Europe
278;Rwanda;gini;GINI index;1981;;Africa
279;Saint Lucia;gini;GINI index;1981;;Americas
280;Senegal;gini;GINI index;1981;;Africa
281;Sierra Leone;gini;GINI index;1981;;Africa
282;Singapore;gini;GINI index;1981;;Asia
283;Slovak Republic;gini;GINI index;1981;;
284;Slovenia;gini;GINI index;1981;;Europe
285;South Africa;gini;GINI index;1981;;Africa
286;Spain;gini;GINI index;1981;;Europe
287;Sri Lanka;gini;GINI index;1981;45.29999923706055;Asia
288;Suriname;gini;GINI index;1981;;Americas
289;Swaziland;gini;GINI index;1981;;Africa
290;Sweden;gini;GINI index;1981;22.799999237060547;Europe
291;Switzerland;gini;GINI index;1981;;Europe
292;Tajikistan;gini;GINI index;1981;;Asia
293;Tanzania;gini;GINI index;1981;;
294;Thailand;gini;GINI index;1981;45.22;Asia
295;Timor-Leste;gini;GINI index;1981;;Asia
296;Togo;gini;GINI index;1981;;Africa
297;Trinidad and Tobago;gini;GINI index;1981;41.70000076293945;Americas
298;Tunisia;gini;GINI index;1981;;Africa
299;Turkey;gini;GINI index;1981;;Asia
300;Turkmenistan;gini;GINI index;1981;;Asia
301;Uganda;gini;GINI index;1981;;Africa
302;Ukraine;gini;GINI index;1981;;Europe
303;United Kingdom;gini;GINI index;1981;29.399999618530273;
304;United States;gini;GINI index;1981;40.599998474121094;
305;Uruguay;gini;GINI index;1981;43.70000076293945;Americas
306;Uzbekistan;gini;GINI index;1981;;Asia
307;Venezuela;gini;GINI index;1981;55.82;
308;Vietnam;gini;GINI index;1981;;
309;Yemen Rep.;gini;GINI index;1981;;
310;Zambia;gini;GINI index;1981;;Africa
311;Zimbabwe;gini;GINI index;1981;;Africa
312;Albania;gini;GINI index;1982;;Europe
313;Algeria;gini;GINI index;1982;;Africa
314;Angola;gini;GINI index;1982;;Africa
315;Argentina;gini;GINI index;1982;;Americas
316;Armenia;gini;GINI index;1982;;Asia
317;Australia;gini;GINI index;1982;40.0;Oceania
318;Austria;gini;GINI index;1982;;Europe
319;Azerbaijan;gini;GINI index;1982;;Asia
320;Bangladesh;gini;GINI index;1982;;Asia
321;Belarus;gini;GINI index;1982;;Europe
322;Belgium;gini;GINI index;1982;;Europe
323;Benin;gini;GINI index;1982;;Africa
324;Bhutan;gini;GINI index;1982;;Asia
325;Bolivia;gini;GINI index;1982;;
326;Bosnia and Herzegovina;gini;GINI index;1982;;Europe
327;Botswana;gini;GINI index;1982;;Africa
328;Brazil;gini;GINI index;1982;58.15;Americas
329;Bulgaria;gini;GINI index;1982;24.700000762939453;Europe
330;Burkina Faso;gini;GINI index;1982;;Africa
331;Burundi;gini;GINI index;1982;;Africa
332;Cambodia;gini;GINI index;1982;;Asia
333;Cameroon;gini;GINI index;1982;;Africa
334;Canada;gini;GINI index;1982;29.399999618530273;Americas
335;Cape Verde;gini;GINI index;1982;;
336;Central African Rep.;gini;GINI index;1982;;Africa
337;Chad;gini;GINI index;1982;;Africa
338;Chile;gini;GINI index;1982;57.0;Americas
339;China;gini;GINI index;1982;28.799999237060547;Asia
340;Colombia;gini;GINI index;1982;;Americas
341;Comoros;gini;GINI index;1982;;Africa
342;Congo Dem. Rep.;gini;GINI index;1982;;
343;Congo Rep.;gini;GINI index;1982;;
344;Costa Rica;gini;GINI index;1982;;Americas
345;Cote d'Ivoire;gini;GINI index;1982;;
346;Croatia;gini;GINI index;1982;;Europe
347;Czech Republic;gini;GINI index;1982;;Europe
348;Denmark;gini;GINI index;1982;35.79999923706055;Europe
349;Djibouti;gini;GINI index;1982;;Africa
350;Dominican Rep.;gini;GINI index;1982;;Americas
351;Ecuador;gini;GINI index;1982;;Americas
352;Egypt;gini;GINI index;1982;;Africa
353;El Salvador;gini;GINI index;1982;;Americas
354;Estonia;gini;GINI index;1982;;Europe
355;Ethiopia;gini;GINI index;1982;32.42;Africa
356;Finland;gini;GINI index;1982;31.5;Europe
357;France;gini;GINI index;1982;;Europe
358;Gabon;gini;GINI index;1982;;Africa
359;Gambia;gini;GINI index;1982;;Africa
360;Georgia;gini;GINI index;1982;;Asia
361;Germany;gini;GINI index;1982;;Europe
362;Ghana;gini;GINI index;1982;;Africa
363;Greece;gini;GINI index;1982;;Europe
364;Guatemala;gini;GINI index;1982;;Americas
365;Guinea;gini;GINI index;1982;;Africa
366;Guinea-Bissau;gini;GINI index;1982;;Africa
367;Guyana;gini;GINI index;1982;;Americas
368;Haiti;gini;GINI index;1982;;Americas
369;Honduras;gini;GINI index;1982;;Americas
370;Hong Kong;gini;GINI index;1982;;Asia
371;Hungary;gini;GINI index;1982;21.0;Europe
372;India;gini;GINI index;1982;;Asia
373;Indonesia;gini;GINI index;1982;45.0;Asia
374;Iran;gini;GINI index;1982;;
375;Ireland;gini;GINI index;1982;;Europe
376;Israel;gini;GINI index;1982;;Asia
377;Italy;gini;GINI index;1982;29.700000762939453;Europe
378;Jamaica;gini;GINI index;1982;;Americas
379;Japan;gini;GINI index;1982;34.79999923706055;Asia
380;Jordan;gini;GINI index;1982;;Asia
381;Kazakhstan;gini;GINI index;1982;;Asia
382;Kenya;gini;GINI index;1982;;Africa
383;South Korea;gini;GINI index;1982;35.70000076293945;
384;Kyrgyzstan;gini;GINI index;1982;;Asia
385;Laos;gini;GINI index;1982;;Asia
386;Latvia;gini;GINI index;1982;;Europe
387;Lesotho;gini;GINI index;1982;;Africa
388;Liberia;gini;GINI index;1982;;Africa
389;Lithuania;gini;GINI index;1982;;Europe
390;Luxembourg;gini;GINI index;1982;;Europe
391;Macedonia;gini;GINI index;1982;;
392;Madagascar;gini;GINI index;1982;;Africa
393;Malawi;gini;GINI index;1982;;Africa
394;Malaysia;gini;GINI index;1982;;Asia
395;Mali;gini;GINI index;1982;;Africa
396;Mauritania;gini;GINI index;1982;;Africa
397;Mexico;gini;GINI index;1982;;Americas
398;Moldova;gini;GINI index;1982;;
399;Mongolia;gini;GINI index;1982;;Asia
400;Morocco;gini;GINI index;1982;;Africa
401;Mozambique;gini;GINI index;1982;;Africa
402;Namibia;gini;GINI index;1982;;Africa
403;Nepal;gini;GINI index;1982;;Asia
404;Netherlands;gini;GINI index;1982;27.600000381469727;Europe
405;Netherlands;gini;GINI index;1982;;Europe
406;New Zealand;gini;GINI index;1982;33.900001525878906;Oceania
407;Nicaragua;gini;GINI index;1982;;Americas
408;Niger;gini;GINI index;1982;;Africa
409;Nigeria;gini;GINI index;1982;36.099998474121094;Africa
410;Norway;gini;GINI index;1982;32.400001525878906;Europe
411;Pakistan;gini;GINI index;1982;;Asia
412;Panama;gini;GINI index;1982;;Americas
413;Papua New Guinea;gini;GINI index;1982;;Oceania
414;Paraguay;gini;GINI index;1982;;Americas
415;Peru;gini;GINI index;1982;;Americas
416;Philippines;gini;GINI index;1982;;Asia
417;Poland;gini;GINI index;1982;20.899999618530273;Europe
418;Portugal;gini;GINI index;1982;;Europe
419;Romania;gini;GINI index;1982;;Europe
420;Russia;gini;GINI index;1982;;Europe
421;Rwanda;gini;GINI index;1982;;Africa
422;Saint Lucia;gini;GINI index;1982;;Americas
423;Senegal;gini;GINI index;1982;;Africa
424;Sierra Leone;gini;GINI index;1982;;Africa
425;Singapore;gini;GINI index;1982;;Asia
426;Slovak Republic;gini;GINI index;1982;;
427;Slovenia;gini;GINI index;1982;;Europe
428;South Africa;gini;GINI index;1982;;Africa
429;Spain;gini;GINI index;1982;;Europe
430;Sri Lanka;gini;GINI index;1982;;Asia
431;Suriname;gini;GINI index;1982;;Americas
432;Swaziland;gini;GINI index;1982;;Africa
433;Sweden;gini;GINI index;1982;30.700000762939453;Europe
434;Switzerland;gini;GINI index;1982;35.70000076293945;Europe
435;Tajikistan;gini;GINI index;1982;;Asia
436;Tanzania;gini;GINI index;1982;;
437;Thailand;gini;GINI index;1982;;Asia
438;Timor-Leste;gini;GINI index;1982;;Asia
439;Togo;gini;GINI index;1982;;Africa
440;Trinidad and Tobago;gini;GINI index;1982;;Americas
441;Tunisia;gini;GINI index;1982;;Africa
442;Turkey;gini;GINI index;1982;;Asia
443;Turkmenistan;gini;GINI index;1982;;Asia
444;Uganda;gini;GINI index;1982;;Africa
445;Ukraine;gini;GINI index;1982;;Europe
446;United Kingdom;gini;GINI index;1982;29.100000381469727;
447;United States;gini;GINI index;1982;41.20000076293945;
448;Uruguay;gini;GINI index;1982;;Americas
449;Uzbekistan;gini;GINI index;1982;;Asia
450;Venezuela;gini;GINI index;1982;;
451;Vietnam;gini;GINI index;1982;;
452;Yemen Rep.;gini;GINI index;1982;;
453;Zambia;gini;GINI index;1982;;Africa
454;Zimbabwe;gini;GINI index;1982;;Africa
455;Albania;gini;GINI index;1983;;Europe
456;Algeria;gini;GINI index;1983;;Africa
457;Angola;gini;GINI index;1983;;Africa
458;Argentina;gini;GINI index;1983;;Americas
459;Armenia;gini;GINI index;1983;;Asia
460;Australia;gini;GINI index;1983;;Oceania
461;Austria;gini;GINI index;1983;;Europe
462;Azerbaijan;gini;GINI index;1983;;Asia
463;Bangladesh;gini;GINI index;1983;36.0;Asia
464;Belarus;gini;GINI index;1983;;Europe
465;Belgium;gini;GINI index;1983;;Europe
466;Benin;gini;GINI index;1983;;Africa
467;Bhutan;gini;GINI index;1983;;Asia
468;Bolivia;gini;GINI index;1983;;
469;Bosnia and Herzegovina;gini;GINI index;1983;;Europe
470;Botswana;gini;GINI index;1983;;Africa
471;Brazil;gini;GINI index;1983;58.4;Americas
472;Bulgaria;gini;GINI index;1983;25.0;Europe
473;Burkina Faso;gini;GINI index;1983;;Africa
474;Burundi;gini;GINI index;1983;;Africa
475;Cambodia;gini;GINI index;1983;;Asia
476;Cameroon;gini;GINI index;1983;49.0;Africa
477;Canada;gini;GINI index;1983;32.79999923706055;Americas
478;Cape Verde;gini;GINI index;1983;;
479;Central African Rep.;gini;GINI index;1983;;Africa
480;Chad;gini;GINI index;1983;;Africa
481;Chile;gini;GINI index;1983;54.5;Americas
482;China;gini;GINI index;1983;27.200000762939453;Asia
483;Colombia;gini;GINI index;1983;;Americas
484;Comoros;gini;GINI index;1983;;Africa
485;Congo Dem. Rep.;gini;GINI index;1983;;
486;Congo Rep.;gini;GINI index;1983;;
487;Costa Rica;gini;GINI index;1983;47.0;Americas
488;Cote d'Ivoire;gini;GINI index;1983;;
489;Croatia;gini;GINI index;1983;;Europe
490;Czech Republic;gini;GINI index;1983;;Europe
491;Denmark;gini;GINI index;1983;33.900001525878906;Europe
492;Djibouti;gini;GINI index;1983;;Africa
493;Dominican Rep.;gini;GINI index;1983;;Americas
494;Ecuador;gini;GINI index;1983;;Americas
495;Egypt;gini;GINI index;1983;;Africa
496;El Salvador;gini;GINI index;1983;;Americas
497;Estonia;gini;GINI index;1983;;Europe
498;Ethiopia;gini;GINI index;1983;;Africa
499;Finland;gini;GINI index;1983;31.0;Europe
500;France;gini;GINI index;1983;;Europe
501;Gabon;gini;GINI index;1983;;Africa
502;Gambia;gini;GINI index;1983;;Africa
503;Georgia;gini;GINI index;1983;;Asia
504;Germany;gini;GINI index;1983;28.399999618530273;Europe
505;Ghana;gini;GINI index;1983;;Africa
506;Greece;gini;GINI index;1983;;Europe
507;Guatemala;gini;GINI index;1983;;Americas
508;Guinea;gini;GINI index;1983;;Africa
509;Guinea-Bissau;gini;GINI index;1983;;Africa
510;Guyana;gini;GINI index;1983;;Americas
511;Haiti;gini;GINI index;1983;;Americas
512;Honduras;gini;GINI index;1983;;Americas
513;Hong Kong;gini;GINI index;1983;;Asia
514;Hungary;gini;GINI index;1983;;Europe
515;India;gini;GINI index;1983;32.099998474121094;Asia
516;Indonesia;gini;GINI index;1983;;Asia
517;Iran;gini;GINI index;1983;;
518;Ireland;gini;GINI index;1983;;Europe
519;Israel;gini;GINI index;1983;;Asia
520;Italy;gini;GINI index;1983;30.0;Europe
521;Jamaica;gini;GINI index;1983;;Americas
522;Japan;gini;GINI index;1983;;Asia
523;Jordan;gini;GINI index;1983;;Asia
524;Kazakhstan;gini;GINI index;1983;;Asia
525;Kenya;gini;GINI index;1983;;Africa
526;South Korea;gini;GINI index;1983;;
527;Kyrgyzstan;gini;GINI index;1983;;Asia
528;Laos;gini;GINI index;1983;;Asia
529;Latvia;gini;GINI index;1983;;Europe
530;Lesotho;gini;GINI index;1983;;Africa
531;Liberia;gini;GINI index;1983;;Africa
532;Lithuania;gini;GINI index;1983;;Europe
533;Luxembourg;gini;GINI index;1983;;Europe
534;Macedonia;gini;GINI index;1983;;
535;Madagascar;gini;GINI index;1983;;Africa
536;Malawi;gini;GINI index;1983;;Africa
537;Malaysia;gini;GINI index;1983;;Asia
538;Mali;gini;GINI index;1983;;Africa
539;Mauritania;gini;GINI index;1983;;Africa
540;Mexico;gini;GINI index;1983;;Americas
541;Moldova;gini;GINI index;1983;;
542;Mongolia;gini;GINI index;1983;;Asia
543;Morocco;gini;GINI index;1983;;Africa
544;Mozambique;gini;GINI index;1983;;Africa
545;Namibia;gini;GINI index;1983;;Africa
546;Nepal;gini;GINI index;1983;;Asia
547;Netherlands;gini;GINI index;1983;30.200000762939453;Europe
548;Netherlands;gini;GINI index;1983;;Europe
549;New Zealand;gini;GINI index;1983;34.099998474121094;Oceania
550;Nicaragua;gini;GINI index;1983;;Americas
551;Niger;gini;GINI index;1983;;Africa
552;Nigeria;gini;GINI index;1983;;Africa
553;Norway;gini;GINI index;1983;;Europe
554;Pakistan;gini;GINI index;1983;;Asia
555;Panama;gini;GINI index;1983;;Americas
556;Papua New Guinea;gini;GINI index;1983;;Oceania
557;Paraguay;gini;GINI index;1983;;Americas
558;Peru;gini;GINI index;1983;;Americas
559;Philippines;gini;GINI index;1983;;Asia
560;Poland;gini;GINI index;1983;24.5;Europe
561;Portugal;gini;GINI index;1983;;Europe
562;Romania;gini;GINI index;1983;;Europe
563;Russia;gini;GINI index;1983;;Europe
564;Rwanda;gini;GINI index;1983;28.899999618530273;Africa
565;Saint Lucia;gini;GINI index;1983;;Americas
566;Senegal;gini;GINI index;1983;;Africa
567;Sierra Leone;gini;GINI index;1983;;Africa
568;Singapore;gini;GINI index;1983;38.29999923706055;Asia
569;Slovak Republic;gini;GINI index;1983;;
570;Slovenia;gini;GINI index;1983;;Europe
571;South Africa;gini;GINI index;1983;;Africa
